ko	description	ptw_count
K00431	thyroid peroxidase [EC:1.11.1.8]	4
K00432	glutathione peroxidase [EC:1.11.1.9]	3
K00433	non-heme chloroperoxidase [EC:1.11.1.10]	0
K00434	L-ascorbate peroxidase [EC:1.11.1.11]	2
K00435	Fe-coproporphyrin III decarboxylase [EC:1.11.1.-]	3
K00436	NAD-reducing hydrogenase large subunit [EC:1.12.1.2]	0
K00437	[NiFe] hydrogenase large subunit [EC:1.12.2.1]	0
K00440	coenzyme F420 hydrogenase subunit alpha [EC:1.12.98.1]	3
K00441	coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]	3
K00442	coenzyme F420 hydrogenase subunit delta	3
K00443	coenzyme F420 hydrogenase subunit gamma [EC:1.12.98.1]	3
K00444	wingless-type MMTV integration site family, member 5	15
K00445	wingless-type MMTV integration site family, member 6	14
K00446	catechol 2,3-dioxygenase [EC:1.13.11.2]	7
K00448	protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]	5
K00449	protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]	5
K00450	gentisate 1,2-dioxygenase [EC:1.13.11.4]	3
K00451	homogentisate 1,2-dioxygenase [EC:1.13.11.5]	4
K00452	3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]	2
K00453	tryptophan 2,3-dioxygenase [EC:1.13.11.11]	2
K00454	lipoxygenase [EC:1.13.11.12]	4
K00455	3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:1.13.11.15]	3
K00456	cysteine dioxygenase [EC:1.13.11.20]	3
K00457	4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]	4
K00458	arachidonate 12-lipoxygenase [EC:1.13.11.31]	5
K00459	nitronate monooxygenase [EC:1.13.12.16]	1
K00460	arachidonate 15-lipoxygenase [EC:1.13.11.33]	6
K00461	arachidonate 5-lipoxygenase [EC:1.13.11.34]	6
K00462	biphenyl-2,3-diol 1,2-dioxygenase [EC:1.13.11.39]	5
K00463	indoleamine 2,3-dioxygenase [EC:1.13.11.52]	3
K00464	all-trans-8-apo-beta-carotenal 15,15-oxygenase [EC:1.13.11.75]	0
K00465	carotenoid 9,10(9,10)-cleavage dioxygenase 1 [EC:1.13.11.-]	0
K00466	tryptophan 2-monooxygenase [EC:1.13.12.3]	1
K00467	lactate 2-monooxygenase [EC:1.13.12.4]	1
K00469	inositol oxygenase [EC:1.13.99.1]	2
K00471	gamma-butyrobetaine dioxygenase [EC:1.14.11.1]	1
K00472	prolyl 4-hydroxylase [EC:1.14.11.2]	2
K00473	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [EC:1.14.11.4]	1
K00474	trimethyllysine dioxygenase [EC:1.14.11.8]	1
K00475	naringenin 3-dioxygenase [EC:1.14.11.9]	3
K00476	aspartate beta-hydroxylase [EC:1.14.11.16]	0
K00477	phytanoyl-CoA hydroxylase [EC:1.14.11.18]	1
K00478	lysine-specific demethylase hairless [EC:1.14.11.-]	0
K00479	glycine betaine catabolism A	0
K00480	salicylate hydroxylase [EC:1.14.13.1]	6
K00481	p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2]	4
K00483	4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]	3
K00484	flavin reductase (NADH) [EC:1.5.1.36]	5
K00485	dimethylaniline monooxygenase (N-oxide forming) [EC:1.14.13.8]	2
K00486	kynurenine 3-monooxygenase [EC:1.14.13.9]	2
K00487	trans-cinnamate 4-monooxygenase [EC:1.14.13.11]	8
K00488	cholestanetriol 26-monooxygenase [EC:1.14.15.15]	4
K00489	cholesterol 7alpha-monooxygenase [EC:1.14.14.23]	6
K00490	cytochrome P450 family 4 subfamily F [EC:1.14.14.1]	0
K00491	nitric-oxide synthase, bacterial [EC:1.14.14.47]	4
K00493	unspecific monooxygenase [EC:1.14.14.1]	4
K00494	alkanal monooxygenase alpha chain [EC:1.14.14.3]	2
K00495	phenylacetaldehyde oxime monooxygenase [EC:1.14.14.44]	2
K00496	alkane 1-monooxygenase [EC:1.14.15.3]	2
K00497	steroid 11beta-monooxygenase [EC:1.14.15.4]	4
K00498	cholesterol monooxygenase (side-chain-cleaving) [EC:1.14.15.6]	6
K00499	choline monooxygenase [EC:1.14.15.7]	1
K00500	phenylalanine-4-hydroxylase [EC:1.14.16.1]	5
K00501	tyrosine 3-monooxygenase [EC:1.14.16.2]	11
K00502	tryptophan 5-monooxygenase [EC:1.14.16.4]	4
K00503	dopamine beta-monooxygenase [EC:1.14.17.1]	2
K00504	peptidylglycine monooxygenase [EC:1.14.17.3]	0
K00505	tyrosinase [EC:1.14.18.1]	6
K00506	tyrosinase-related protein 1 [EC:1.14.18.-]	3
K00507	stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]	5
K00508	linoleoyl-CoA desaturase [EC:1.14.19.3]	2
K00509	prostaglandin-endoperoxide synthase 1 [EC:1.14.99.1]	5
K00510	heme oxygenase 1 [EC:1.14.14.18]	10
K00511	squalene monooxygenase [EC:1.14.14.17]	5
K00512	steroid 17alpha-monooxygenase / 17alpha-hydroxyprogesterone deacetylase [EC:1.14.14.19 1.14.14.32]	6
K00513	steroid 21-monooxygenase [EC:1.14.14.16]	5
K00514	zeta-carotene desaturase [EC:1.3.5.6]	3
K00515	beta-carotene 15,15-dioxygenase [EC:1.13.11.63]	2
K00516	lytic starch monooxygenase [EC:1.14.99.55]	0
K00517	indol-3-yl-methylglucosinolate hydroxylase [EC:1.14.-.-]	0
K00518	nickel superoxide dismutase [EC:1.15.1.1]	0
K00520	mercuric reductase [EC:1.16.1.1]	0
K00521	ferric-chelate reductase [EC:1.16.1.7]	0
K00522	ferritin heavy chain [EC:1.16.3.2]	3
K00523	CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]	1
K00524	ribonucleotide reductase, class II [EC:1.17.4.1]	3
K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	3
K00526	ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]	3
K00527	ribonucleoside-triphosphate reductase (thioredoxin) [EC:1.17.4.2]	3
K00528	ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]	0
K00529	3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]	4
K00531	nitrogenase delta subunit [EC:1.18.6.1]	4
K00532	ferredoxin hydrogenase [EC:1.12.7.2]	0
K00533	ferredoxin hydrogenase large subunit [EC:1.12.7.2]	0
K00534	ferredoxin hydrogenase small subunit [EC:1.12.7.2]	0
K00537	arsenate reductase [EC:1.20.4.1]	0
K00541	nicotinamide N-methyltransferase [EC:2.1.1.1]	2
K00542	guanidinoacetate N-methyltransferase [EC:2.1.1.2]	3
K00543	acetylserotonin O-methyltransferase [EC:2.1.1.4]	2
K00544	betaine-homocysteine S-methyltransferase [EC:2.1.1.5]	3
K00545	catechol O-methyltransferase [EC:2.1.1.6]	5
K00546	histamine N-methyltransferase [EC:2.1.1.8]	1
K00547	homocysteine S-methyltransferase [EC:2.1.1.10]	3
K00548	5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	6
K00549	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]	5
K00550	phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.71]	3
K00551	phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]	3
K00552	glycine N-methyltransferase [EC:2.1.1.20]	1
K00553	phenylethanolamine N-methyltransferase [EC:2.1.1.28]	2
K00554	tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]	0
K00555	tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase [EC:2.1.1.215 2.1.1.216]	0
K00556	tRNA (guanosine-2-O-)-methyltransferase [EC:2.1.1.34]	0
K00557	tRNA (uracil-5-)-methyltransferase [EC:2.1.1.35]	0
K00558	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	3
K00559	sterol 24-C-methyltransferase [EC:2.1.1.41]	4
K00560	thymidylate synthase [EC:2.1.1.45]	4
K00561	23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]	0
K00562	methyltransferase [EC:2.1.1.49 2.1.1.96]	2
K00563	23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]	0
K00564	16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]	0
K00565	mRNA (guanine-N7-)-methyltransferase [EC:2.1.1.56]	1
K00566	tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]	1
K00567	methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]	0
K00568	2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]	3
K00569	thiopurine S-methyltransferase [EC:2.1.1.67]	1
K00570	phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]	3
K00571	site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]	0
K00572	wingless-type MMTV integration site family, member 7	14
K00573	protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]	0
K00574	cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]	0
K00575	chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	2
K00577	tetrahydromethanopterin S-methyltransferase subunit A [EC:2.1.1.86]	4
K00578	tetrahydromethanopterin S-methyltransferase subunit B [EC:2.1.1.86]	4
K00579	tetrahydromethanopterin S-methyltransferase subunit C [EC:2.1.1.86]	4
K00580	tetrahydromethanopterin S-methyltransferase subunit D [EC:2.1.1.86]	4
K00581	tetrahydromethanopterin S-methyltransferase subunit E [EC:2.1.1.86]	4
K00582	tetrahydromethanopterin S-methyltransferase subunit F [EC:2.1.1.86]	4
K00583	tetrahydromethanopterin S-methyltransferase subunit G [EC:2.1.1.86]	4
K00584	tetrahydromethanopterin S-methyltransferase subunit H [EC:2.1.1.86]	4
K00586	diphthine methyl ester synthase [EC:2.1.1.314]	0
K00587	protein-S-isoprenylcysteine O-methyltransferase [EC:2.1.1.100]	2
K00588	caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]	6
K00589	uroporphyrin-III C-methyltransferase [EC:2.1.1.107]	4
K00590	site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]	0
K00591	polyprenyldihydroxybenzoate methyltransferase / 3-demethylubiquinol 3-O-methyltransferase [EC:2.1.1.114 2.1.1.64]	3
K00592	[ribulose-bisphosphate carboxylase]/[fructose-bisphosphate aldolase]-lysine N-methyltransferase [EC:2.1.1.127 2.1.1.259]	0
K00594	alditol oxidase [EC:1.1.3.41]	3
K00595	precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]	2
K00596	2,2-dialkylglycine decarboxylase (pyruvate) [EC:4.1.1.64]	0
K00597	methionine synthase reductase [EC:1.16.1.8]	0
K00598	trans-aconitate 2-methyltransferase [EC:2.1.1.144]	0
K00599	methyltransferase-like protein 6 [EC:2.1.1.-]	0
K00600	glycine hydroxymethyltransferase [EC:2.1.2.1]	12
K00601	phosphoribosylglycinamide formyltransferase [EC:2.1.2.2]	5
K00602	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	6
K00603	glutamate formiminotransferase [EC:2.1.2.5]	3
K00604	methionyl-tRNA formyltransferase [EC:2.1.2.9]	2
K00605	aminomethyltransferase [EC:2.1.2.10]	7
K00606	3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]	3
K00608	aspartate carbamoyltransferase [EC:2.1.3.2]	3
K00609	aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	3
K00610	aspartate carbamoyltransferase regulatory subunit	3
K00611	ornithine carbamoyltransferase [EC:2.1.3.3]	5
K00612	carbamoyltransferase [EC:2.1.3.-]	0
K00613	glycine amidinotransferase [EC:2.1.4.1]	3
K00615	transketolase [EC:2.2.1.1]	9
K00616	transaldolase [EC:2.2.1.2]	7
K00618	amino-acid N-acetyltransferase [EC:2.3.1.1]	6
K00619	amino-acid N-acetyltransferase [EC:2.3.1.1]	6
K00620	glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	6
K00621	glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]	1
K00622	arylamine N-acetyltransferase [EC:2.3.1.5]	7
K00623	choline O-acetyltransferase [EC:2.3.1.6]	2
K00624	carnitine O-acetyltransferase [EC:2.3.1.7]	1
K00625	phosphate acetyltransferase [EC:2.3.1.8]	8
K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	19
K00627	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]	8
K00628	glycine N-acyltransferase / glycine N-benzoyltransferase [EC:2.3.1.13 2.3.1.71]	1
K00629	glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]	4
K00630	glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]	4
K00631	glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]	4
K00632	acetyl-CoA acyltransferase [EC:2.3.1.16]	11
K00633	galactoside O-acetyltransferase [EC:2.3.1.18]	0
K00634	phosphate butyryltransferase [EC:2.3.1.19]	2
K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	2
K00637	sterol O-acyltransferase [EC:2.3.1.26]	2
K00638	chloramphenicol O-acetyltransferase type B [EC:2.3.1.28]	0
K00639	glycine C-acetyltransferase [EC:2.3.1.29]	1
K00640	serine O-acetyltransferase [EC:2.3.1.30]	8
K00641	homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]	5
K00643	5-aminolevulinate synthase [EC:2.3.1.37]	4
K00645	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	5
K00646	malonyl-ACP decarboxylase	0
K00647	3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]	4
K00648	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	3
K00649	glyceronephosphate O-acyltransferase [EC:2.3.1.42]	2
K00650	lecithin-cholesterol acyltransferase [EC:2.3.1.43]	2
K00651	homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]	6
K00652	8-amino-7-oxononanoate synthase [EC:2.3.1.47]	2
K00653	chromodomain protein Y [EC:2.3.1.48]	0
K00654	serine palmitoyltransferase [EC:2.3.1.50]	4
K00655	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	4
K00656	formate C-acetyltransferase [EC:2.3.1.54]	5
K00657	diamine N-acetyltransferase [EC:2.3.1.57]	3
K00658	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]	7
K00659	bile acid-CoA:amino acid N-acyltransferase [EC:2.3.1.65 3.1.2.2]	6
K00660	chalcone synthase [EC:2.3.1.74]	4
K00661	maltose O-acetyltransferase [EC:2.3.1.79]	0
K00662	aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]	0
K00663	aminoglycoside 6-N-acetyltransferase [EC:2.3.1.82]	0
K00664	alcohol O-acetyltransferase [EC:2.3.1.84]	0
K00665	fatty acid synthase, animal type [EC:2.3.1.85]	5
K00666	fatty-acyl-CoA synthase [EC:6.2.1.-]	0
K00667	fatty acid synthase subunit alpha, fungi type [EC:2.3.1.86]	3
K00668	fatty acid synthase subunit beta, fungi type [EC:2.3.1.86]	3
K00669	arylalkylamine N-acetyltransferase [EC:2.3.1.87]	2
K00670	N-alpha-acetyltransferase 30 [EC:2.3.1.256]	0
K00671	glycylpeptide N-tetradecanoyltransferase [EC:2.3.1.97]	0
K00672	formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101]	4
K00673	arginine N-succinyltransferase [EC:2.3.1.109]	2
K00674	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]	4
K00675	N-hydroxyarylamine O-acetyltransferase [EC:2.3.1.118]	0
K00677	UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	3
K00678	phosphatidylcholine-retinol O-acyltransferase [EC:2.3.1.135]	2
K00679	phospholipid:diacylglycerol acyltransferase [EC:2.3.1.158]	2
K00680	uncharacterized N-acetyltransferase [EC:2.3.1.-]	0
K00681	gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]	4
K00682	gamma-glutamylcyclotransferase [EC:4.3.2.9]	2
K00683	glutaminyl-peptide cyclotransferase [EC:2.3.2.5]	0
K00684	leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]	0
K00685	arginyl-tRNA---protein transferase [EC:2.3.2.8]	0
K00686	protein-glutamine gamma-glutamyltransferase [EC:2.3.2.13]	0
K00687	penicillin-binding protein 2B	3
K00688	glycogen phosphorylase [EC:2.4.1.1]	8
K00689	dextransucrase [EC:2.4.1.5]	2
K00690	sucrose phosphorylase [EC:2.4.1.7]	1
K00691	maltose phosphorylase [EC:2.4.1.8]	2
K00692	levansucrase [EC:2.4.1.10]	3
K00693	glycogen synthase [EC:2.4.1.11]	7
K00694	cellulose synthase (UDP-forming) [EC:2.4.1.12]	3
K00695	sucrose synthase [EC:2.4.1.13]	2
K00696	sucrose-phosphate synthase [EC:2.4.1.14]	2
K00697	trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]	2
K00698	chitin synthase [EC:2.4.1.16]	1
K00699	glucuronosyltransferase [EC:2.4.1.17]	11
K00700	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	3
K00701	cyclomaltodextrin glucanotransferase [EC:2.4.1.19]	1
K00702	cellobiose phosphorylase [EC:2.4.1.20]	2
K00703	starch synthase [EC:2.4.1.21]	4
K00704	alpha-lactalbumin [EC:2.4.1.22]	2
K00705	4-alpha-glucanotransferase [EC:2.4.1.25]	2
K00706	1,3-beta-glucan synthase [EC:2.4.1.34]	2
K00709	histo-blood group ABO system transferase [EC:2.4.1.40 2.4.1.37]	2
K00710	polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41]	2
K00712	poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52]	0
K00713	UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase [EC:2.4.1.-]	0
K00714	wingless-type MMTV integration site family, member 8	14
K00715	ganglioside galactosyltransferase [EC:2.4.1.62]	2
K00716	galactoside 3(4)-fucosyltransferase 3 [EC:2.4.1.65]	2
K00717	glycoprotein 6-alpha-L-fucosyltransferase [EC:2.4.1.68]	5
K00718	galactoside 2-L-fucosyltransferase 1/2 [EC:2.4.1.69]	3
K00719	galactosylgalactosylglucosylceramide beta-D-acetylgalactosaminyltransferase [EC:2.4.1.79]	3
K00720	ceramide glucosyltransferase [EC:2.4.1.80]	2
K00721	dolichol-phosphate mannosyltransferase [EC:2.4.1.83]	2
K00722	globoside alpha-N-acetylgalactosaminyltransferase [EC:2.4.1.88]	2
K00725	(N-Acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase [EC:2.4.1.92]	2
K00726	alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.101]	3
K00727	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase [EC:2.4.1.102]	2
K00728	dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]	3
K00729	dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]	2
K00730	oligosaccharyl transferase complex subunit OST4	4
K00731	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase [EC:2.4.1.122]	2
K00733	xylosylprotein 4-beta-galactosyltransferase [EC:2.4.1.133]	3
K00734	galactosylxylosylprotein 3-beta-galactosyltransferase [EC:2.4.1.134]	3
K00735	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1 [EC:2.4.1.135]	2
K00736	alpha-1,6-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.143]	3
K00737	beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.144]	2
K00738	alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase A/B [EC:2.4.1.145]	3
K00739	acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase [EC:2.4.1.147]	2
K00741	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase [EC:2.4.1.149]	3
K00742	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase [EC:2.4.1.150]	2
K00743	N-acetyllactosaminide 3-alpha-galactosyltransferase [EC:2.4.1.87]	1
K00744	alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase [EC:2.4.1.155]	2
K00745	raffinose-raffinose alpha-galactotransferase [EC:2.4.1.166]	0
K00746	chondroitin sulfate N-acetylgalactosaminyltransferase 1/2 [EC:2.4.1.174 2.4.1.175]	2
K00747	chondroitin polymerizing factor [EC:2.4.1.175 2.4.1.226]	2
K00748	lipid-A-disaccharide synthase [EC:2.4.1.182]	2
K00749	alpha-1,3-glucan synthase [EC:2.4.1.183]	0
K00750	glycogenin [EC:2.4.1.186]	2
K00752	hyaluronan synthase [EC:2.4.1.212]	0
K00753	glycoprotein 3-alpha-L-fucosyltransferase [EC:2.4.1.214]	2
K00754	L-malate glycosyltransferase [EC:2.4.1.-]	0
K00756	pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]	2
K00757	uridine phosphorylase [EC:2.4.2.3]	3
K00758	thymidine phosphorylase [EC:2.4.2.4]	4
K00759	adenine phosphoribosyltransferase [EC:2.4.2.7]	2
K00760	hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]	4
K00761	uracil phosphoribosyltransferase [EC:2.4.2.9]	2
K00762	orotate phosphoribosyltransferase [EC:2.4.2.10]	2
K00763	nicotinate phosphoribosyltransferase [EC:6.3.4.21]	2
K00764	amidophosphoribosyltransferase [EC:2.4.2.14]	5
K00765	ATP phosphoribosyltransferase [EC:2.4.2.17]	4
K00766	anthranilate phosphoribosyltransferase [EC:2.4.2.18]	5
K00767	nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]	2
K00768	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]	2
K00769	xanthine phosphoribosyltransferase [EC:2.4.2.22]	3
K00770	1,4-beta-D-xylan synthase [EC:2.4.2.24]	2
K00771	protein xylosyltransferase [EC:2.4.2.26]	3
K00772	5-methylthioadenosine phosphorylase [EC:2.4.2.28]	2
K00773	queuine tRNA-ribosyltransferase [EC:2.4.2.29]	0
K00774	poly [ADP-ribose] polymerase 16 [EC:2.4.2.30]	0
K00775	ADP-ribosyltransferase 3 [EC:2.4.2.31]	0
K00776	NAD-diphthamide ADP-ribosyltransferase [EC:2.4.2.36]	0
K00778	beta-galactoside alpha-2,6-sialyltransferase (sialyltransferase 1) [EC:2.4.99.1]	3
K00779	beta-galactoside alpha-2,6-sialyltransferase (sialyltransferase 2) [EC:2.4.99.1]	3
K00780	beta-galactoside alpha-2,3-sialyltransferase (sialyltransferase 4A) [EC:2.4.99.4]	5
K00781	neolactotetraosylceramide alpha-2,3-sialyltransferase (sialyltransferase 6) [EC:2.4.99.6]	6
K00782	L-lactate dehydrogenase complex protein LldG	0
K00783	23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]	0
K00784	ribonuclease Z [EC:3.1.26.11]	1
K00785	beta-galactosamide-alpha-2,3-sialyltransferase [EC:2.4.99.-]	0
K00786	glycosyltransferase [EC:2.4.-.-]	0
K00787	farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]	6
K00788	thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]	2
K00789	S-adenosylmethionine synthetase [EC:2.5.1.6]	4
K00790	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	3
K00791	tRNA dimethylallyltransferase [EC:2.5.1.75]	3
K00793	riboflavin synthase [EC:2.5.1.9]	3
K00794	6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]	3
K00795	farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]	4
K00796	dihydropteroate synthase [EC:2.5.1.15]	2
K00797	spermidine synthase [EC:2.5.1.16]	5
K00798	cob(I)alamin adenosyltransferase [EC:2.5.1.17]	2
K00799	glutathione S-transferase [EC:2.5.1.18]	9
K00800	3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]	5
K00801	farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]	5
K00802	spermine synthase [EC:2.5.1.22]	5
K00803	alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]	3
K00804	geranylgeranyl diphosphate synthase, type III [EC:2.5.1.1 2.5.1.10 2.5.1.29]	4
K00805	heptaprenyl diphosphate synthase [EC:2.5.1.30]	2
K00806	undecaprenyl diphosphate synthase [EC:2.5.1.31]	2
K00807	leukotriene-C4 synthase [EC:4.4.1.20]	2
K00808	homospermidine synthase [EC:2.5.1.44]	2
K00809	deoxyhypusine synthase [EC:2.5.1.46]	0
K00811	aspartate aminotransferase, chloroplastic [EC:2.6.1.1]	14
K00812	aspartate aminotransferase [EC:2.6.1.1]	15
K00813	aspartate aminotransferase [EC:2.6.1.1]	15
K00814	alanine transaminase [EC:2.6.1.2]	8
K00815	tyrosine aminotransferase [EC:2.6.1.5]	12
K00816	kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase [EC:2.6.1.7 4.4.1.13 2.6.1.64]	4
K00817	histidinol-phosphate aminotransferase [EC:2.6.1.9]	10
K00818	acetylornithine aminotransferase [EC:2.6.1.11]	6
K00819	ornithine--oxo-acid transaminase [EC:2.6.1.13]	4
K00820	glucosamine---fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]	5
K00821	acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]	8
K00822	beta-alanine--pyruvate transaminase [EC:2.6.1.18]	4
K00823	4-aminobutyrate aminotransferase [EC:2.6.1.19]	6
K00824	D-alanine transaminase [EC:2.6.1.21]	6
K00825	kynurenine/2-aminoadipate aminotransferase [EC:2.6.1.7 2.6.1.39]	6
K00826	branched-chain amino acid aminotransferase [EC:2.6.1.42]	9
K00827	alanine-glyoxylate transaminase / (R)-3-amino-2-methylpropionate-pyruvate transaminase [EC:2.6.1.44 2.6.1.40]	6
